date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:38	305/305	---MCZ	200	added ('OK')	text/plain	etag:W/%22211-IjM3PuorgMvklH7NQBbTDKg9hJM%22	https://www.phslot8.com/robots.txt		(from )
10:52:38	794961/794961	---MCZ	200	added ('OK')	text/html	etag:W/%227f8e59de7067f3f515976f0fb768cdba%22	https://www.phslot8.com/	C:/My%20Web%20Sites/phslot8.com/www.phslot8.com/index.html	(from )
10:52:38	79518/79518	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202025%2009:50:40%20GMT	https://static.wixstatic.com/media/17ea77_9ce0f7b840154d809ac327667e60b453~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/17ea77_9ce0f7b840154d809ac327667e60b453~mv2.png	C:/My%20Web%20Sites/phslot8.com/static.wixstatic.com/media/17ea77_9ce0f7b840154d809ac327667e60b453_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/17ea77_9ce0f7b840154d809ac327667e60b453_mv2.png	(from https://www.phslot8.com/)
10:52:39	3822/3822	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202025%2014:54:03%20GMT	https://static.wixstatic.com/media/17ea77_9ce0f7b840154d809ac327667e60b453~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/17ea77_9ce0f7b840154d809ac327667e60b453~mv2.png	C:/My%20Web%20Sites/phslot8.com/static.wixstatic.com/media/17ea77_9ce0f7b840154d809ac327667e60b453_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/17ea77_9ce0f7b840154d809ac327667e60b453_mv2.png	(from https://www.phslot8.com/)
10:52:39	70496/70496	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Jan%202025%2016:59:42%20GMT	https://static.wixstatic.com/media/17ea77_9ce0f7b840154d809ac327667e60b453~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/17ea77_9ce0f7b840154d809ac327667e60b453~mv2.png	C:/My%20Web%20Sites/phslot8.com/static.wixstatic.com/media/17ea77_9ce0f7b840154d809ac327667e60b453_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/17ea77_9ce0f7b840154d809ac327667e60b453_mv2.png	(from https://www.phslot8.com/)
10:52:39	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/phslot8.com/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.phslot8.com/)
10:52:40	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/phslot8.com/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.phslot8.com/)
10:52:41	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2011%20Feb%202025%2003:52:41%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/phslot8.com/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.phslot8.com/)
10:52:41	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Feb%202025%2003:52:42%20GMT	https://www.phslot8.com/s	C:/My%20Web%20Sites/phslot8.com/www.phslot8.com/s.6.delayed	(from https://www.phslot8.com/)
10:52:42	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Feb%202025%2003:52:43%20GMT	https://www.phslot8.com/t	C:/My%20Web%20Sites/phslot8.com/www.phslot8.com/t.7.delayed	(from https://www.phslot8.com/)
